Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
03/01/2017;U.JLACERDA-C;280;282,32;0,83
03/01/2017;U.NV.VENECIA2;0;0;0
03/01/2017;U.PIRATININGA;0;0;0
03/01/2017;U.URUGUAIANA;0;0;0
03/01/2017;US. FIGUEIRA;7;6,83;-2,43
03/01/2017;US.CAMACARI;0;0;0
03/01/2017;US.CARIOBA;0;0;0
03/01/2017;US.MANDU;15;0;-100
03/01/2017;UT CIDADE NOV;0;0;0
03/01/2017;UT DISTRITO A;0;0;0
03/01/2017;UT DISTRITO B;0;0;0
03/01/2017;UT ERB CANDEI;0;0;0
03/01/2017;UT GUA.TANABI 2;0;0;0
03/01/2017;UT INTERLAGOS;0;0;0
03/01/2017;UT MARIO LAGO;0;0;0
03/01/2017;UT MAUA BL 5A;0;0;0
03/01/2017;UT MAUA BL 5B;0;0;0
03/01/2017;UT SAO JOSE 1;0;0;0
03/01/2017;UT SAO JOSE 2;0;0;0
03/01/2017;UT. FORTALEZA;327;327,74;0,23
03/01/2017;UT. KLABIN CE;190;193,97;2,09
03/01/2017;UT.AUR.CHAVES;210;206,04;-1,89
03/01/2017;UT.CAM.GRANDE;0;8,95;0
03/01/2017;UT.MARACANAU1;79,17;68,17;-13,89
03/01/2017;UT.MARANHAO 3;519;504,18;-2,86
03/01/2017;UT.MARANHAO 4;338;323,47;-4,3
03/01/2017;UT.MARANHAO 5;338;323,47;-4,3
03/01/2017;UT.PARNAIBA 4;0;0;0
03/01/2017;UT.PECEM;0;0;0
03/01/2017;UT.POR.ITAQUI;0;0;0
03/01/2017;UT.TERMOCEARA;0;9,53;0
03/01/2017;UTE AMANDINA;105;32,15;-69,38
03/01/2017;UTE ANGELICA;90;16,63;-81,52
03/01/2017;UTE APARECIDA;0;0;0
03/01/2017;UTE ARAGUAIA;13,33;12,9;-3,23
03/01/2017;UTE AREMBEPE;0;17,39;0
03/01/2017;UTE ATLANTICO;380;387,91;2,08
03/01/2017;UTE BERNECK;7;7,7;10
03/01/2017;UTE BOA VISTA;0;0;0
03/01/2017;UTE CACU I;0;0;0
03/01/2017;UTE CMPC;15;1,54;-89,73
03/01/2017;UTE COCAL 2;46;0;-100
03/01/2017;UTE CODORA;0;0;0
03/01/2017;UTE CRIST ROCHA;48;46,9;-2,29
03/01/2017;UTE CUIABA;0;0;0
03/01/2017;UTE ELDORADO BR;0;0;0
03/01/2017;UTE ELECTRON;0;0;0
03/01/2017;UTE FLORES 1;0;0;0
03/01/2017;UTE FLORES 2;0;0;0
03/01/2017;UTE FLORES 3;0;0;0
03/01/2017;UTE FLORES 4;0;0;0
03/01/2017;UTE GLOBAL I;0;25,6;0
03/01/2017;UTE GLOBAL II;0;25,63;0
03/01/2017;UTE GOIASA;0;0;0
03/01/2017;UTE GUA.TANABI;0;0;0
03/01/2017;UTE GUAIRA;24;24;0
03/01/2017;UTE GUARANI;13;13;0
03/01/2017;UTE IPAUSSU;0;0;0
03/01/2017;UTE IRANDUBA;0;0;0
03/01/2017;UTE JARAQUI;55;47,43;-13,76
03/01/2017;UTE LAGO AZUL;0;0;0
03/01/2017;UTE MADEIRAS;2;2;0
03/01/2017;UTE MANAUARA;65;67,19;3,37
03/01/2017;UTE MAUA 7;0;0;0
03/01/2017;UTE MAUA BL 3;105;103,67;-1,27
03/01/2017;UTE MAUA BL 6;0;0;0
03/01/2017;UTE MAUA BL I;0;0;0
03/01/2017;UTE MAUA BL4;0;0;0
03/01/2017;UTE MURICY;44,75;30,2;-32,51
03/01/2017;UTE P.FERRO 1;0;0;0
03/01/2017;UTE PERNAMB.3;16,79;16,54;-1,49
03/01/2017;UTE RIO ACRE;0;0;0
03/01/2017;UTE SANTANA;0;0;0
03/01/2017;UTE SANTANA II;0;0;0
03/01/2017;UTE SAO BORJA;0;0;0
03/01/2017;UTE SIDE PECEM;170;195,29;14,88
03/01/2017;UTE SOL;143,29;148,15;3,39
03/01/2017;UTE SUAPE II;0;103,43;0
03/01/2017;UTE SUZANO;190;227,59;19,78
03/01/2017;UTE SYKUE 1;4,5;0;-100
03/01/2017;UTE TAMBAQUI;55;59,7;8,55
03/01/2017;UTE USACIGA;0;0;0
03/01/2017;UTE VIANA;0;0;0
03/01/2017;VALE ROSARIO;60;60;0
03/01/2017;XAVANTES;0;0;0
03/01/2017;PCT AOR;0;0;0
03/01/2017;PCT CEEE;0;0;0
03/01/2017;PCT CELG;0;0;0
03/01/2017;PCT CEMAT;23;23;0
03/01/2017;PCT CEMIG;0;0;0
03/01/2017;PCT COELBA;0;0;0
03/01/2017;PCT CPFL;0;0;0
03/01/2017;PCT CSF;0;0;0
03/01/2017;PCT DJB;0;0;0
03/01/2017;PCT ENERSUL;21;21;0
03/01/2017;PCT FURNAS;0;0;0
03/01/2017;PCT MARINGA;77;77;0
03/01/2017;PCT PBR;0;0;0
03/01/2017;PCT PIE;0;0;0
03/01/2017;CONJUNTO CHAPADAO;76,19;98,9;29,81
03/01/2017;CONJUNTO TERMELETRICO BIOPAV;0;0;0
03/01/2017;CONJUNTO TERMELETRICO CACHOEIRA DOURADA;0;0;0
03/01/2017;CONJUNTO TERMELETRICO DOURADOS;50;23,81;-52,38
03/01/2017;CONJUNTO TERMELETRICO EDEIA;0;0;0
03/01/2017;CONJUNTO TERMELETRICO JATAI;0;0;0
03/01/2017;CONJUNTO TERMELETRICO QUIRINOPOLIS;18;15,9;-11,67
04/01/2017;ANGRA;1.990,00;1.988,72;-0,06
04/01/2017;ALTA MOGIANA;29;29;0
04/01/2017;ALTOS;0;0;0
04/01/2017;ARACATI;0;0;0
04/01/2017;B.FLUMINENSE;509,17;503,73;-1,07
04/01/2017;B.L.SOBRINHO;0;0;0
04/01/2017;BAHIA I;28;15,5;-44,64
04/01/2017;BATURITE;0;0;0
04/01/2017;BELO JARDIM;0;0;0
04/01/2017;C.S.TUBARAO;174;145,62;-16,31
04/01/2017;CAMPO MAIOR;0;0;0
04/01/2017;CAMPOS;0;0;0
