Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
13/01/2017;
20/01/2017;CURUA-UNA;20,5;20,4;-0,44
20/01/2017;ESTREITO;328,8;330,2;0,43
20/01/2017;FERREI.GOMES;59,0;72,7;23,22
20/01/2017;PCH CELPA;0,0;0,0;0,00
20/01/2017;PCH CELTINS;0,0;0,0;0,00
20/01/2017;PCH CERON;0,0;0,0;0,00
20/01/2017;PCH ENORTE;0,0;0,0;0,00
20/01/2017;STO.ANT.JARI;90,7;78,9;-13,07
20/01/2017;UHE BALBINA;60,0;61,4;2,35
20/01/2017;US. TUCURUI;2.466,2;2.300,4;-6,72
20/01/2017;US.COA.NUNES;72,0;66,6;-7,47
20/01/2017;CONJUNTO HIDRELETRICO BARREIRAS;32,1;38,7;20,39
20/01/2017;ITAPEBI US;68,4;71,2;4,06
20/01/2017;P.DO CAVALO;2,5;2,7;6,80
20/01/2017;PCH CHESF;0,0;0,0;0,00
20/01/2017;PCH COELBA;0,0;0,0;0,00
20/01/2017;PCH S.GRANDE;11,1;11,1;0,00
20/01/2017;U. A. SALES;0,0;1,8;0,00
20/01/2017;U.SOBRADINHO;235,9;236,9;0,44
20/01/2017;UB.ESPERANCA;92,0;95,7;4,04
20/01/2017;US. L.GONZAGA;301,6;307,8;2,06
20/01/2017;USINA PA-I;0,0;0,0;0,00
20/01/2017;USINA PA-II;0,0;0,0;0,00
20/01/2017;USINA PA-III;0,0;0,0;0,00
20/01/2017;USINA PA-IV;687,4;671,1;-2,38
20/01/2017;USINA XINGO;784,0;802,8;2,40
20/01/2017;ITAIPU 50 HZ;4.243,9;4.300,3;1,33
20/01/2017;14 DE JULHO;57,2;47,4;-17,13
20/01/2017;ALZIR SANTOS;44,0;37,3;-15,30
20/01/2017;BENTO MUNHOZ;912,6;981,1;7,50
